번호,TOP 1,TOP 2,BOTTOM 1,나를 표현하는 한마디,생활 속 성향과 행동
20,NP,FC,A,밝은 온기로 사람을 편안하게 하는 사람,"사람과의 교류에서 기쁨을 얻고, 따뜻한 마음과 긍정적인 표현으로 일상을 풍성하게 만듭니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
21,NP,FC,AC,다정한 에너지로 관계를 잇는 사람,"사람과의 교류에서 기쁨을 얻고, 따뜻한 마음과 긍정적인 표현으로 일상을 풍성하게 만듭니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
22,NP,AC,CP,세심한 배려로 사람을 품는 사람,"주변을 세심하게 살피고 조화를 중요하게 여기며, 함께 편안할 수 있는 삶의 방식을 선택합니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
23,NP,AC,A,마음을 살피며 조화로운 분위기를 만드는 사람,"주변을 세심하게 살피고 조화를 중요하게 여기며, 함께 편안할 수 있는 삶의 방식을 선택합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
24,NP,AC,FC,조용한 온기로 관계를 이어가는 사람,"주변을 세심하게 살피고 조화를 중요하게 여기며, 함께 편안할 수 있는 삶의 방식을 선택합니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
25,A,CP,NP,명확한 판단으로 길을 개척하는 사람,"상황을 차분히 살피고 분명한 기준을 세워, 계획과 판단을 바탕으로 삶을 안정적으로 이끕니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
26,A,CP,FC,냉철한 이성으로 중심을 세우는 사람,"상황을 차분히 살피고 분명한 기준을 세워, 계획과 판단을 바탕으로 삶을 안정적으로 이끕니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
27,A,CP,AC,논리와 소신으로 자기 길을 가는 사람,"상황을 차분히 살피고 분명한 기준을 세워, 계획과 판단을 바탕으로 삶을 안정적으로 이끕니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
28,A,NP,CP,따뜻한 이성으로 해답을 찾는 사람,"현실을 합리적으로 판단하면서도 사람의 마음을 함께 고려해, 균형 잡힌 선택을 하려 합니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
29,A,NP,FC,깊은 이해와 지혜로 신뢰를 만드는 사람,"현실을 합리적으로 판단하면서도 사람의 마음을 함께 고려해, 균형 잡힌 선택을 하려 합니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
30,A,NP,AC,차분한 통찰로 사람을 이해하는 사람,"현실을 합리적으로 판단하면서도 사람의 마음을 함께 고려해, 균형 잡힌 선택을 하려 합니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
31,A,FC,CP,유연한 지혜로 가능성을 여는 사람,"상황을 빠르게 이해하고 새로운 가능성을 탐색하며, 유연한 사고로 삶의 선택지를 넓혀 갑니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
32,A,FC,NP,밝은 지성으로 새로운 길을 찾는 사람,"상황을 빠르게 이해하고 새로운 가능성을 탐색하며, 유연한 사고로 삶의 선택지를 넓혀 갑니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
33,A,FC,AC,자유로운 사고로 가능성을 펼치는 사람,"상황을 빠르게 이해하고 새로운 가능성을 탐색하며, 유연한 사고로 삶의 선택지를 넓혀 갑니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
34,A,AC,CP,상황을 살피며 최선의 길을 찾는 사람,"현실을 합리적으로 판단하고 주변의 상황과 의견도 수용하며, 자신에게 가장 적절한 선택을 찾아갑니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
35,A,AC,NP,세심한 관찰로 흐름을 읽는 사람,"현실을 합리적으로 판단하고 주변의 상황과 의견도 수용하며, 자신에게 가장 적절한 선택을 찾아갑니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
36,A,AC,FC,차분한 통찰로 균형을 만드는 사람,"현실을 합리적으로 판단하고 주변의 상황과 의견도 수용하며, 자신에게 가장 적절한 선택을 찾아갑니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
37,FC,CP,NP,당당한 열정으로 분위기를 이끄는 사람,"하고 싶은 일에 적극적으로 뛰어들며, 자신의 기준과 추진력을 바탕으로 삶의 활력을 만들어 갑니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
38,FC,CP,A,자유로운 에너지로 길을 여는 사람,"하고 싶은 일에 적극적으로 뛰어들며, 자신의 기준과 추진력을 바탕으로 삶의 활력을 만들어 갑니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
39,FC,CP,AC,거침없는 열정으로 앞으로 나아가는 사람,"하고 싶은 일에 적극적으로 뛰어들며, 자신의 기준과 추진력을 바탕으로 삶의 활력을 만들어 갑니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
40,FC,NP,CP,따뜻한 에너지로 마음을 여는 사람,"삶의 즐거움과 사람의 온기를 중요하게 여기며, 긍정적인 표현과 교류로 일상을 활기차게 만듭니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
41,FC,NP,A,밝은 온기로 사람을 끌어당기는 사람,"삶의 즐거움과 사람의 온기를 중요하게 여기며, 긍정적인 표현과 교류로 일상을 활기차게 만듭니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
42,FC,NP,AC,다정한 활력으로 관계를 꽃피우는 사람,"삶의 즐거움과 사람의 온기를 중요하게 여기며, 긍정적인 표현과 교류로 일상을 활기차게 만듭니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
43,FC,A,CP,유연한 감각으로 가능성을 발견하는 사람,"새로운 경험을 즐기면서도 상황을 빠르게 파악해, 유연하고 현실적인 방식으로 가능성을 펼칩니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
44,FC,A,NP,밝은 지혜로 새로운 흐름을 만드는 사람,"새로운 경험을 즐기면서도 상황을 빠르게 파악해, 유연하고 현실적인 방식으로 가능성을 펼칩니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
45,FC,A,AC,자유로운 감각으로 변화를 즐기는 사람,"새로운 경험을 즐기면서도 상황을 빠르게 파악해, 유연하고 현실적인 방식으로 가능성을 펼칩니다. 
주변 의견을 한 번 더 살피면 선택의 폭과 협력의 가능성이 넓어집니다."
46,FC,AC,CP,부드러운 친화력으로 관계를 여는 사람,"주변 분위기에 자연스럽게 어울리면서 새로운 경험을 즐기고, 변화에도 부드럽게 적응합니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
47,FC,AC,NP,따뜻한 친화력으로 사람을 잇는 사람,"주변 분위기에 자연스럽게 어울리면서 새로운 경험을 즐기고, 변화에도 부드럽게 적응합니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
48,FC,AC,A,섬세한 친화력으로 분위기를 살피는 사람,"주변 분위기에 자연스럽게 어울리면서 새로운 경험을 즐기고, 변화에도 부드럽게 적응합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
49,AC,CP,NP,섬세함 속에 단단한 중심을 품은 사람,"주변의 기대와 상황을 세심하게 살피면서도 필요한 순간에는 자신의 기준을 세우고 책임 있게 행동합니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
50,AC,CP,A,상대를 살피며 소신을 지키는 사람,"주변의 기대와 상황을 세심하게 살피면서도 필요한 순간에는 자신의 기준을 세우고 책임 있게 행동합니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
51,AC,CP,FC,부드러움 속에 자기 중심을 가진 사람,"주변의 기대와 상황을 세심하게 살피면서도 필요한 순간에는 자신의 기준을 세우고 책임 있게 행동합니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
52,AC,NP,CP,깊은 배려로 사람을 품는 사람,"주변 사람의 필요와 분위기를 잘 살피며, 배려와 협조를 통해 안정적이고 조화로운 삶을 만들어 갑니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
53,AC,NP,A,세심한 온기로 마음을 살피는 사람,"주변 사람의 필요와 분위기를 잘 살피며, 배려와 협조를 통해 안정적이고 조화로운 삶을 만들어 갑니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
54,AC,NP,FC,부드러운 배려로 관계를 이어가는 사람,"주변 사람의 필요와 분위기를 잘 살피며, 배려와 협조를 통해 안정적이고 조화로운 삶을 만들어 갑니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
55,AC,A,CP,섬세한 통찰로 흐름을 읽는 사람,"상황과 주변의 반응을 충분히 관찰한 뒤 합리적으로 판단하며, 무리 없는 선택으로 균형을 유지합니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
56,AC,A,NP,세심한 판단으로 균형을 찾는 사람,"상황과 주변의 반응을 충분히 관찰한 뒤 합리적으로 판단하며, 무리 없는 선택으로 균형을 유지합니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
57,AC,A,FC,차분한 관찰로 상황을 살피는 사람,"상황과 주변의 반응을 충분히 관찰한 뒤 합리적으로 판단하며, 무리 없는 선택으로 균형을 유지합니다. 
즐거움과 감정을 조금 더 표현하면 일상의 활력과 만족감을 키우는 데 도움이 됩니다."
58,AC,FC,CP,부드러운 친화력으로 관계에 스며드는 사람,"주변과 자연스럽게 어울리며 일상의 즐거움을 찾고, 변화하는 상황에도 유연하게 맞춰 갑니다. 
해야 할 일이 생기면 망설이지 않고 방향을 정해 꾸준히 실행하면 추진력이 더욱 좋아집니다."
59,AC,FC,NP,다정한 감각으로 잘 어우러지는 사람,"주변과 자연스럽게 어울리며 일상의 즐거움을 찾고, 변화하는 상황에도 유연하게 맞춰 갑니다. 
따뜻한 말과 관심을 조금 더 표현하면 더욱 편하게 소통할 수 있습니다."
60,AC,FC,A,섬세한 친화력으로 관계를 연결하는 사람,"주변과 자연스럽게 어울리며 일상의 즐거움을 찾고, 변화하는 상황에도 유연하게 맞춰 갑니다. 
중요한 순간에는 서두르지 않고 차분하게 생각하면 판단의 균형이 좋아집니다."
